Title,DOI,Authors,Date,VectorNoPath,Pathogen_Disease,Overlap Pathogens,Vector,ISO_code,ISO_country,Region,Method,Category,Data,Host species,Human case data,Sampling method
Elucidating transmission parameters of African swine fever through wild boar carcasses by combining spatio-temporal notification data and agent-based modelling,DOI 10.1007/s00477-016-1358-8,Lange and Thulke,2016,,African swine fever,,,"EST,LVA","Estonia, Latvia",Estonia and Latvia,Mapped ASF,Grey data,,Boar,,
Development of African swine fever epidemic among wild boar in Estonia - two different areas in the epidemiological focus,DOI: 10.1038/s41598-017-12952-w ,Nurmoja et al.,2017,,African swine fever,,,EST,Estonia  ,Estonia  ,hierarchical Bayesian space–time model and mapped prevalence,"Prevalence mapping,Risk mapping,Prevalence modeling",Wild boar sampled for ASF,Boar,,
Epidemiological analyses of African swine fever in the Baltic States and Poland,doi: 10.2903/j.efsa.2017.5068,Depner et al.,2017,,African swine fever,,,"EST,LVA,LTU,POL","Estonia, Latvia, Lithuania, Poland","Eastern Europe (Estonia, Latvia, Lithuania, Poland)","mapped ASF notifications, Getis-Ord hotspot analysis, projected Bayesian hierarchical model","Grey data,Prevalence modeling,Risk mapping,Cluster analysis",cases reported to EU Animal Disease Notification System,"Boar,Domestic pig",,
"Risk analysis of African swine fever in Poland based on spatio-temporal pattern and Latin hypercube sampling, 2014–2017",doi: 10.1186/s12917-019-1903-z,Lu et al.,2019,,African swine fever,,,POL,Poland,Poland,Spatial descriptive statistics and SaTScan,"Grey data,Risk mapping,Cluster analysis",ASF surveillance data,"Boar,Domestic pig",,
African Swine Fever in Uganda: Qualitative Evaluation of Three Surveillance Methods with Implications for Other Resource-Poor Settings,doi: 10.3389/fvets.2015.00051,Chenais et al.,2015,,African swine fever,,,UGA,Uganda,Uganda,Mapped distribution of household ASF outbreak in pigs,Grey data,Household survey,Domestic pig,,
The Epidemiology of African Swine Fever in “Nonendemic” Regions of Zambia (1989–2015): Implications for Disease Prevention and Control,doi: 10.3390/v9090236,Simulundu et al.,2017,,African swine fever,,Ornithodoros sp.,ZMB,Zambia,Zambia,Mapped outbreaks and genotypes,"Endemicity mapping,Genetic mapping,Grey data",Published outbreak data,Domestic pig,,
"Investigation of African swine fever outbreaks in pigs outside the controlled areas of South Africa, 2012–2017",doi: 10.4102/jsava.v91i0.1997,van Rensburg et al.,2020,,African swine fever,,Ornithodoros moubata,ZAF,South Africa,South Africa,Mapped ASF outbreak locations,"Endemicity mapping,Grey data",ASF in domestic pigs,Domestic pig,,
African swine fever emerging in China: Distribution characteristics and high-risk areas,https://doi.org/10.1016/j.prevetmed.2019.104861,Ma et al. ,2020,,African swine fever,,,CHN,China,China,"Maxent, SaTScan, and mapped cases","Ecological niche modeling,Cluster analysis,Grey data",ASF cases  ,Domestic pig,,
"Spatio-temporal modeling of the African swine fever epidemic in the Russian Federation, 2007–2012",https://doi.org/10.1016/j.sste.2014.04.002,Korennoy et al.,2014,,African swine fever,,Ornithodoros sp.,RUS,the Russian Federation,Russian Federation,Maxent and functional distance mapping,"Ecological niche modeling,Grey data,Risk mapping",ASF cases in wild and domestic pigs,"Domestic pig,Wild pig",,
Spatial multi-criteria decision analysis for modelling suitable habitats of Ornithodoros soft ticks in the Western Palearctic region,https://doi.org/10.1016/j.vetpar.2017.10.022Get,Vial,2018,checked,"African swine fever,Relapsing fever",tick-borne relapsing fever,"Ornithodoros erraticus,Ornithodoros sonrai,Ornithodoros alactagalis,Ornithodoros nereensis,Ornithodoros tholozani,Ornithodoros papillipes,Ornithodoros tartakovskyi,Ornithodoros asperus,Ornithodoros verrucosus",,"Europe, Eastern Mediterranean","Western Palearctic (Europe, N. Africa, Middle East, parts of Asia)",Multi-Criteria Decision Analysis,"Grey data,Risk mapping",Tick presence for validation taken from literature,,,
